epoch,train_loss,train_data_loss,train_biology_loss,train_mae,train_mape,mean_alpha,mean_K,mean_beta
1,0.633915,0.632649,0.126570,2.006066,84.4484,1.2885,1.3531,0.2646
2,0.451803,0.450080,0.172294,1.883203,103.8524,1.1731,1.4836,0.2210
3,0.355061,0.353648,0.141280,1.770246,91.8066,0.9883,1.5408,0.2483
4,0.289925,0.288523,0.140260,1.696563,87.7093,0.8978,1.7117,0.2505
5,0.264806,0.263655,0.115040,1.655724,92.5052,0.8382,1.8586,0.2346
6,0.258771,0.258034,0.073629,1.632957,99.0117,0.7681,1.9052,0.2386
7,0.244421,0.244054,0.036733,1.615646,96.1187,0.7148,1.9381,0.2428
8,0.233826,0.233745,0.008006,1.589190,103.2927,0.6563,1.9473,0.2419
9,0.235413,0.235348,0.006515,1.592556,96.7861,0.6084,1.9987,0.2409
10,0.226148,0.226081,0.006728,1.578542,93.0977,0.5803,2.0874,0.2184
11,0.225363,0.225363,0.000000,1.579147,107.6672,0.5519,2.0213,0.2401
12,0.217950,0.217950,0.000000,1.559464,92.4026,0.5640,2.2039,0.1973
13,0.210428,0.210428,0.000000,1.545106,91.2974,0.5344,2.1718,0.1935
14,0.210184,0.210184,0.000000,1.532457,93.2023,0.5145,2.0949,0.2040
15,0.207723,0.207723,0.000000,1.540609,99.2208,0.5045,2.0771,0.2053
16,0.203230,0.203230,0.000000,1.522194,92.2364,0.5059,2.1582,0.1877
17,0.191535,0.191535,0.000000,1.495001,81.9630,0.4980,2.2254,0.1673
18,0.198925,0.198925,0.000000,1.515118,86.5653,0.4999,2.0733,0.1877
19,0.195008,0.195008,0.000000,1.515671,93.1779,0.4839,2.0867,0.1842
20,0.190667,0.190667,0.000000,1.484061,87.9248,0.4873,2.1630,0.1636
21,0.200934,0.200934,0.000000,1.520651,94.2589,0.4675,2.2373,0.1480
22,0.186448,0.186448,0.000000,1.488208,92.1544,0.4410,2.2273,0.1512
23,0.189145,0.189145,0.000000,1.489337,85.8426,0.4264,2.1491,0.1643
24,0.195020,0.195020,0.000000,1.497490,101.9064,0.4250,2.1705,0.1489
25,0.193254,0.193254,0.000000,1.503778,99.1085,0.4084,2.2467,0.1349
26,0.197769,0.197769,0.000000,1.520871,86.6096,0.4153,2.2600,0.1353
27,0.186873,0.186873,0.000000,1.487823,92.4493,0.4191,2.2938,0.1203
28,0.183019,0.183019,0.000000,1.471357,91.5147,0.3866,2.2712,0.1211
29,0.177064,0.177064,0.000000,1.458213,88.2032,0.3916,2.2737,0.1125
30,0.174661,0.174661,0.000000,1.435533,89.9766,0.3820,2.2688,0.1152
31,0.178404,0.178404,0.000000,1.467508,85.1051,0.3845,2.3208,0.1027
32,0.184194,0.184194,0.000000,1.454217,97.0159,0.3699,2.2687,0.1053
33,0.176817,0.176817,0.000000,1.442777,90.2844,0.3595,2.2108,0.1139
34,0.176643,0.176643,0.000000,1.449372,82.6425,0.3562,2.2037,0.1181
35,0.185352,0.185352,0.000000,1.457277,98.6685,0.3430,2.4408,0.0906
36,0.175586,0.175586,0.000000,1.428724,93.3441,0.3054,2.2620,0.1074
37,0.178983,0.178983,0.000000,1.462000,93.7281,0.2819,2.2414,0.1155
38,0.180929,0.180929,0.000000,1.448015,91.7019,0.2948,2.3461,0.0945
39,0.171857,0.171857,0.000000,1.427656,97.3346,0.2868,2.3349,0.0976
40,0.197913,0.197913,0.000000,1.481804,106.9613,0.2573,2.3223,0.0982
41,0.165849,0.165849,0.000000,1.412362,85.4218,0.2361,2.5469,0.0840
42,0.175565,0.175565,0.000000,1.416110,88.4396,0.2166,2.4947,0.0902
43,0.183924,0.183924,0.000000,1.459577,105.9825,0.1911,2.5522,0.0811
44,0.191427,0.191427,0.000000,1.485252,106.3097,0.1646,2.7003,0.0723
45,0.176012,0.176012,0.000000,1.457245,89.8057,0.1548,2.9557,0.0587
46,0.169888,0.169888,0.000000,1.415843,94.1922,0.1583,2.7799,0.0714
47,0.187700,0.187700,0.000000,1.475529,97.6285,0.1444,2.7505,0.0711
